,Data notes:,,,,,,,,,,,,,,,,,
,"Only patients age 21+ were routinely tested for diabetes if they were referred for LTBI treatment consult, sent to case conference, and/or if they were referred for leprosy evaluation",,,,,,,,,,,,,,,,,
,PTB categories include patients with both PTB and Ex-PTB,,,,,,,,,,,,,,,,,
Majuro intervention data (2018),Ex-PTB includes patients with only Ex-PTB,,,,,,,,,,,,,,,,,
,Active PTB cases without bacteriologic confirmation include those with negative labs and those with no labs done,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Age,,,,,,,,,,,,,,,,,
,0-4,5-14,15-34,35-49,50+,Total,,,,,,,,,,,,
Screening,,,,,,,,,,,,,,,,,,
First visit,"1,419","5,680","8,083","4,220","3,221","22,623",,,,,,,,,,,,
Second visit complete,"1,048","5,095","6,905","3,712","2,823","19,583",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Diabetes,,,,,No Diabetes,,,,,Diabetes not tested or missing info,,,,,,,
Age,0-4,5-14,15-34,35-49,50+,0-4,5-14,15-34,35-49,50+,0-4,5-14,15-34,35-49,50+,Total,,
Active TB Diagnosis,,,,,,,,,,,,,,,,,,
Total Active TB,,,2,18,47,,2,42,41,33,41,55,22,3,3,309,,
Total sent to case conference,,,14,86,215,,3,168,172,155,66,256,175,87,118,"1,515",,
Active TB diagnosis and treatment outcomes,,,,,,,,,,,,,,,,,,
"Total PTB with bacteriological confirmation (smear, culture, and/or Xpert)",,,,6,10,,,11,6,4,1,2,6,2,,48,,
Treatment success (cured and/or treatment completed),,,,6,10,,,8,6,3,1,2,6,2,,44,,
Treatment failure (lost),,,,,,,,1,,1,,,,,,2,,
Died,,,,,,,,,,,,,,,,0,,
"Other (pending/restart, transferred out/unknown)",,,,,,,,2,,,,,,,,2,,
Total Sputum Smear Positive only,,,,3,5,,,2,2,2,,,3,2,,19,,
Treatment success (cured and/or treatment completed),,,,3,5,,,1,2,1,,,3,2,,17,,
Treatment failure (lost),,,,,,,,,,1,,,,,,1,,
Died,,,,,,,,,,,,,,,,0,,
"Other (pending/restart, transferred out/unknown)",,,,,,,,1,,,,,,,,1,,
Total PTB without bacteriological confirmation (clinical dx),,,2,12,36,,2,29,33,29,36,49,16,1,3,248,,
Treatment success (cured and/or treatment completed),,,2,12,31,,2,28,30,26,34,48,16,1,2,232,,
Treatment failure (lost),,,,,,,,1,1,2,1,1,,,,6,,
Died,,,,,1,,,,,,,,,,,1,,
"Other (pending outcome/restart, transferred out)",,,,,4,,,,2,1,1,,,,1,9,,
Total Extrapulmonary TB only,,,,,1,,,2,2,,4,4,,,,13,,
Treatment success (cured and/or treatment completed),,,,,1,,,2,2,,4,4,,,,13,,
Treatment failure (lost),,,,,,,,,,,,,,,,0,,
Died,,,,,,,,,,,,,,,,0,,
"Other (pending/restart, transferred out/unknown)",,,,,,,,,,,,,,,,0,,
Latent TB,,,,,,,,,,,,,,,,,,
Age 5+,,,,,,,,,,,,,,,,,,
Number with TST results ,-,5,98,434,703,-,15,1218,986,572,-,4896,5547,2246,1512,"18,232",,
Positive TST,-,3,86,393,607,-,12,1103,892,497,-,556,1091,314,236,"5,790",,
TST+ and recommended for latent TB treatment,-,2,81,360,520,-,12,1035,837,447,-,507,1040,287,211,"5,339",,
TST+  and started latent TB treatment,-,2,77,341,478,-,11,996,804,413,-,455,953,243,159,"4,932",,
TST+ and completed latent TB treatment,-,2,67,305,402,-,8,847,685,341,-,413,846,202,125,"4,243",,
Treatment started without a positive TST (negative or not done),-,,,6,7,-,,9,7,8,-,36,43,34,24,174,,
Treatment completed without a positive TST,-,,,4,6,-,,6,5,6,-,33,28,22,16,126,,
Age < 5,,,,,,,,,,,,,,,,,,
Recommended for preventive treatment ,-,-,-,-,-,-,-,-,-,-,73,-,-,-,-,73,,
Treatment started,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,22,,
Treatment completed,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,18,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Calibration target,,,,,,,,,,,,,,,,,,
reported_majuro_prevalence in 2018,1577.899198,,,,,,,,,,,,,,,,,
