date,state,question,response,count,respondents
2020-07-22,ACT,1.5m compliance,Always,28,94
2020-07-22,ACT,1.5m compliance,Often,54,94
2020-07-22,ACT,1.5m compliance,Rarely,3,94
2020-07-22,ACT,1.5m compliance,Sometimes,9,94
2020-07-22,ACT,cough,A tissue,21,94
2020-07-22,ACT,cough,Nothing,3,94
2020-07-22,ACT,cough,"Something else (e.g. a hanky, clothing)",11,94
2020-07-22,ACT,cough,Your elbow,48,94
2020-07-22,ACT,cough,Your hand,11,94
2020-07-22,ACT,hand hygine,"I washed or sanitised my hands as soon as I could, but there was a delay",34,94
2020-07-22,ACT,hand hygine,No,5,94
2020-07-22,ACT,hand hygine,"Yes, I washed or sanitised my hands immediately afterward",55,94
2020-07-22,ACT,non-household contact,No,61,94
2020-07-22,ACT,non-household contact,Yes,33,94
2020-07-22,NSW,1.5m compliance,Always,152,402
2020-07-22,NSW,1.5m compliance,No,5,402
2020-07-22,NSW,1.5m compliance,Often,190,402
2020-07-22,NSW,1.5m compliance,Rarely,11,402
2020-07-22,NSW,1.5m compliance,Sometimes,44,402
2020-07-22,NSW,cough,A tissue,73,402
2020-07-22,NSW,cough,Nothing,9,402
2020-07-22,NSW,cough,"Something else (e.g. a hanky, clothing)",36,402
2020-07-22,NSW,cough,Your elbow,242,402
2020-07-22,NSW,cough,Your hand,42,402
2020-07-22,NSW,hand hygine,"I washed or sanitised my hands as soon as I could, but there was a delay",105,402
2020-07-22,NSW,hand hygine,No,18,402
2020-07-22,NSW,hand hygine,"Yes, I washed or sanitised my hands immediately afterward",279,402
2020-07-22,NSW,non-household contact,No,250,402
2020-07-22,NSW,non-household contact,Yes,152,402
2020-07-22,NT,1.5m compliance,Always,6,30
2020-07-22,NT,1.5m compliance,No,1,30
2020-07-22,NT,1.5m compliance,Often,17,30
2020-07-22,NT,1.5m compliance,Sometimes,6,30
2020-07-22,NT,cough,A tissue,8,30
2020-07-22,NT,cough,"Something else (e.g. a hanky, clothing)",7,30
2020-07-22,NT,cough,Your elbow,12,30
2020-07-22,NT,cough,Your hand,3,30
2020-07-22,NT,hand hygine,"I washed or sanitised my hands as soon as I could, but there was a delay",7,30
2020-07-22,NT,hand hygine,No,3,30
2020-07-22,NT,hand hygine,"Yes, I washed or sanitised my hands immediately afterward",20,30
2020-07-22,NT,non-household contact,No,12,30
2020-07-22,NT,non-household contact,Yes,18,30
2020-07-22,QLD,1.5m compliance,Always,132,358
2020-07-22,QLD,1.5m compliance,No,6,358
2020-07-22,QLD,1.5m compliance,Often,160,358
2020-07-22,QLD,1.5m compliance,Rarely,14,358
2020-07-22,QLD,1.5m compliance,Sometimes,46,358
2020-07-22,QLD,cough,A tissue,60,358
2020-07-22,QLD,cough,Nothing,8,358
2020-07-22,QLD,cough,"Something else (e.g. a hanky, clothing)",37,358
2020-07-22,QLD,cough,Your elbow,196,358
2020-07-22,QLD,cough,Your hand,57,358
2020-07-22,QLD,hand hygine,"I washed or sanitised my hands as soon as I could, but there was a delay",100,358
2020-07-22,QLD,hand hygine,No,25,358
2020-07-22,QLD,hand hygine,"Yes, I washed or sanitised my hands immediately afterward",233,358
2020-07-22,QLD,non-household contact,No,232,358
