country,iso3,region,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Australia,AUS,BARWON_SOUTH_WEST,2018,24.75981559999999,25.6696158,24.8978171,24.7082248,25.9845282,25.55450549999998,25.0802183,24.2656272,24.65436619999999,26.79202350000001,25.583027000000012,26.534263699999997,25.480471600000005,23.578750099999997,19.685241,13.576573099999997,9.6394815,10.4148687,,,
Australia,AUS,GIPPSLAND,2018,14.211891899999998,14.950460599999996,14.604181900000004,13.676585400000002,12.734012,13.436862800000002,13.937674099999995,13.028025800000002,13.019295300000005,15.204244700000002,15.305651899999999,17.4476078,17.003541199999997,16.733731000000006,14.003049999999995,9.551923800000004,6.055443799999999,6.0130078,,,
Australia,AUS,GRAMPIANS,2018,13.049119100000008,14.192542400000004,13.8660869,13.166677600000003,13.428386500000004,13.008628600000002,12.593073200000005,12.528143500000004,12.925603899999999,14.549878900000003,14.148958300000002,15.159064299999999,14.2750274,13.491094300000006,11.175784300000002,7.800137799999997,5.2634532,5.660671400000001,,,
Australia,AUS,HUME,2018,14.256878499999997,15.454364500000002,15.2940652,14.972396299999996,12.716480599999999,13.232143899999995,13.5127749,13.001138100000002,13.741669800000002,15.6562078,15.383540400000003,17.030476700000005,16.0672149,15.077274500000001,12.688149200000007,8.825481000000002,5.9003831,6.064177,,,
Australia,AUS,LODDON_MALLEE,2018,14.9389588,15.674615399999995,15.143523799999997,15.098605099999999,14.746554300000003,15.150988,14.210948600000002,13.378700499999997,13.972438599999997,15.617817000000002,15.351957500000006,16.763117299999998,15.664940100000003,14.684508099999997,12.028234300000003,8.781542299999998,6.042006999999998,6.375832400000001,,,
Australia,AUS,New South Wales,2020,499.023,511.402,489.438,474.681,558.417,613.789,602.516,568.293,506.215,526.659,477.949,494.31,447.266,393.231,341.916,240.802,168.332,105.928,52.589,15.199,1.571
Australia,AUS,NORTH_METRO,2018,71.76049330000001,69.01020090000002,62.35654949999997,62.640613099999996,85.86308790000001,97.59176969999994,96.06960369999996,84.3729389,73.19539009999998,73.04634800000001,65.4051139,61.871032899999996,53.3255088,45.22755560000001,37.9944833,27.1262571,19.9328905,20.28843980000001,,,
Australia,AUS,SOUTH_EAST_METRO,2018,102.60140380000001,104.35403050000006,98.26046139999998,100.98284070000001,125.72560420000002,123.13957090000001,121.60393959999998,114.52805349999997,105.46400590000005,111.1448106,99.57835509999995,94.9319923,82.9628325,71.4958291,61.33534109999998,44.18190790000001,32.10518249999999,34.45105209999999,,,
Australia,AUS,SOUTH_METRO,2018,47.216414600000014,48.3945825,46.56015489999998,46.1918261,61.1779394,68.93439030000003,67.0963634,59.44758950000002,54.705674300000005,59.047564099999995,52.34655930000001,50.93249190000001,45.04082640000001,40.6586328,36.16401060000001,24.971480499999995,18.14988119999999,20.354981100000007,,,
Australia,AUS,Victoria,2020,404.553,411.474,385.896,382.37,488.132,531.255,521.625,477.448,416.763,431.07,393.305,385.538,346.777,304.002,261.995,184.572,130.971,82.985,40.793,11.879,1.401
Australia,AUS,WEST_METRO,2018,103.90886359999999,96.62685469999995,84.0582876,85.91125669999998,126.70542099999999,144.33199109999995,142.76620889999995,122.94873620000001,101.77300159999999,97.5410932,85.47348900000001,80.11267130000002,69.04513149999998,58.151951200000006,47.11055679999998,32.18255699999998,23.4024265,23.928368699999996,,,
