variable_name,dataset,code_list,definition
bmu,Community engagement,,Number of TB Basic Management Units in the country
bmu_community_impl,Community engagement,,Number of TB Basic Management Units which implemented community-based referrals or any form of community treatment adherence support
bmu_ref_data,Community engagement,,Number of Basic Management Units with data on referrals by community health workers / community volunteers
bmu_rxsupport_data,Community engagement,,Number of Basic Management Units with data on community treatment adherence support
bmu_rxsupport_data_coh,Community engagement,,Total number of patients who started TB treatment in the Basic Management Units with data on community treatment adherence support
community_data_available,Community engagement,0=No; 1=Yes,Are data available on community-based referrals or any form of community treatment adherence support?
notified_ref,Community engagement,,Total number of new and relapse TB cases notified in the Basic Management Units with data on referrals by community health workers
notified_ref_community,Community engagement,,Total number of new and relapse TB cases referred by community health workers / community volunteers in the Basic Management Units with data on referrals by community health workers
rxsupport_community_coh,Community engagement,,Total number of patients who started TB treatment and who received any form of treatment adherence support from community health workers / community volunteers in the Basic Management Units with data on community treatment adherence support
rxsupport_community_succ,Community engagement,,Total number of patients who were cured or who completed treatment among the cases who started TB treatment and who received any form of treatment adherence support from community health workers / community volunteers in the Basic Management Units with data on community treatment adherence support
country,Country identification,,Country or territory name
iso_numeric,Country identification,,ISO numeric country/territory code
iso2,Country identification,,ISO 2-character country/territory code
iso3,Country identification,,ISO 3-character country/territory code
c_cdr,Estimates,,"Case detection rate (all forms), percent"
c_cdr_hi,Estimates,,"Case detection rate (all forms), percent, high bound"
c_cdr_lo,Estimates,,"Case detection rate (all forms), percent, low bound"
c_newinc_100k,Estimates,,"Case notification rate, which is the total of new and relapse cases and cases with unknown previous TB treatment history per 100 000 population (calculated)"
cfr,Estimates,,Estimated TB case fatality ratio
cfr_hi,Estimates,,Estimated TB case fatality ratio: high bound
cfr_lo,Estimates,,Estimated TB case fatality ratio: low bound
e_inc_100k,Estimates,,Estimated incidence (all forms) per 100 000 population
e_inc_100k_hi,Estimates,,"Estimated incidence (all forms) per 100 000 population, high bound"
e_inc_100k_lo,Estimates,,"Estimated incidence (all forms) per 100 000 population, low bound"
e_inc_num,Estimates,,Estimated number of incident cases (all forms)
e_inc_num_014,Estimates,,Estimated number of incident cases that are aged 0 - 14
e_inc_num_014_hi,Estimates,,Estimated number of incident cases that are male 0 - 14 (upper bound)
e_inc_num_014_lo,Estimates,,Estimated number of incident cases that are aged 0 - 14 (lower bound)
e_inc_num_15plus,Estimates,,Estimated number of incident cases that are aged 15 and over
e_inc_num_15plus_hi,Estimates,,Estimated number of incident cases that are aged 15 and over (upper bound)
e_inc_num_15plus_lo,Estimates,,Estimated number of incident cases that are aged 15 and over (lower bound)
e_inc_num_f,Estimates,,Estimated number of incident cases that are female
e_inc_num_f_hi,Estimates,,Estimated number of incident cases that are female (upper bound)
e_inc_num_f_lo,Estimates,,Estimated number of incident cases that are female (lower bound)
e_inc_num_f014,Estimates,,Estimated number of incident cases that are female aged 0 - 14
e_inc_num_f014_hi,Estimates,,Estimated number of incident cases that are female aged 0 - 14 (upper bound)
e_inc_num_f014_lo,Estimates,,Estimated number of incident cases that are female aged 0 - 14 (lower bound)
e_inc_num_f15plus,Estimates,,Estimated number of incident cases that are female aged 15 and over
e_inc_num_f15plus_hi,Estimates,,Estimated number of incident cases that are female aged 15 and over (upper bound)
e_inc_num_f15plus_lo,Estimates,,Estimated number of incident cases that are female aged 15 and over (lower bound)
e_inc_num_hi,Estimates,,"Estimated number of incident cases (all forms), high bound"
e_inc_num_lo,Estimates,,"Estimated number of incident cases (all forms), low bound"
e_inc_num_m,Estimates,,Estimated number of incident cases that are male
e_inc_num_m_hi,Estimates,,Estimated number of incident cases that are male (upper bound)
e_inc_num_m_lo,Estimates,,Estimated number of incident cases that are male (lower bound)
e_inc_num_m014,Estimates,,Estimated number of incident cases that are male aged 0 - 14
e_inc_num_m014_hi,Estimates,,Estimated number of incident cases that are male aged 0 - 14 (upper bound)
e_inc_num_m014_lo,Estimates,,Estimated number of incident cases that are male aged 0 - 14 (lower bound)
e_inc_num_m15plus,Estimates,,Estimated number of incident cases that are male aged 15 and over
e_inc_num_m15plus_hi,Estimates,,Estimated number of incident cases that are male aged 15 and over (upper bound)
e_inc_num_m15plus_lo,Estimates,,Estimated number of incident cases that are male aged 15 and over (lower bound)
e_inc_rr_num,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number)
e_inc_rr_num_hi,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number): high bound
e_inc_rr_num_lo,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number): low bound
e_inc_tbhiv_100k,Estimates,,Estimated incidence of TB cases who are HIV-positive per 100 000 population
e_inc_tbhiv_100k_hi,Estimates,,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, high bound"
e_inc_tbhiv_100k_lo,Estimates,,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, low bound"
e_inc_tbhiv_num,Estimates,,Estimated incidence of TB cases who are HIV-positive
e_inc_tbhiv_num_hi,Estimates,,"Estimated incidence of TB cases who are HIV-positive, high bound"
e_inc_tbhiv_num_lo,Estimates,,"Estimated incidence of TB cases who are HIV-positive, low bound"
e_mdr_pct_rr_new,Estimates,,Estimated percentage of new rifampicin resistant TB cases that have MDR-TB
e_mdr_pct_rr_ret,Estimates,,Estimated percentage of previously treated rifampicin resistant TB cases that have MDR-TB
e_mort_exc_tbhiv_100k,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV) per 100 000 population"
e_mort_exc_tbhiv_100k_hi,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, high bound"
e_mort_exc_tbhiv_100k_lo,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, low bound"
e_mort_exc_tbhiv_num,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV)"
e_mort_exc_tbhiv_num_hi,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV), high bound"
e_mort_exc_tbhiv_num_lo,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV), low bound"
e_mort_tbhiv_100k,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population"
e_mort_tbhiv_100k_hi,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population, high bound"
e_mort_tbhiv_100k_lo,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population, low bound"
e_mort_tbhiv_num,Estimates,,Estimated number of deaths from TB in people who are HIV-positive
e_mort_tbhiv_num_hi,Estimates,,"Estimated number of deaths from TB in people who are HIV-positive, high bound"
e_mort_tbhiv_num_lo,Estimates,,"Estimated number of deaths from TB in people who are HIV-positive, low bound"
e_pop_num,Estimates,,Estimated total population number
e_rr_in_notified_pulm,Estimates,,Estimated number of RR-TB cases among notified pulmonary TB cases
e_rr_in_notified_pulm_hi,Estimates,,Estimated number of RR-TB cases among notified pulmonary TB cases: high bound
e_rr_in_notified_pulm_lo,Estimates,,Estimated number of RR-TB cases among notified pulmonary TB cases: low bound
e_rr_pct_new,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB
e_rr_pct_new_hi,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB: high bound
e_rr_pct_new_lo,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB: low bound
e_rr_pct_ret,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB
e_rr_pct_ret_hi,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB: high bound
e_rr_pct_ret_lo,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB: low bound
e_tbhiv_prct,Estimates,,Estimated HIV in incident TB (percent)
e_tbhiv_prct_hi,Estimates,,"Estimated HIV in incident TB (percent), high bound"
e_tbhiv_prct_lo,Estimates,,"Estimated HIV in incident TB (percent), low bound"
source_drs_coverage_new,Estimates,,Indicates whether national or subnational data from drug resistance surveys or surveillance was used to estimate the proportion of new TB cases with MDR-TB
source_drs_coverage_ret,Estimates,,Indicates whether national or subnational data from drug resistance surveys or surveillance was used to estimate the proportion of previously treated TB cases with MDR-TB
source_drs_year_new,Estimates,,"Year of drug resistance surveillance, survey or model used to estimate proportion of new TB cases with MDR-TB"
source_drs_year_ret,Estimates,,"Year of drug resistance surveillance, survey or model used to estimate proportion of previously treated TB cases with MDR-TB"
source_inc,Estimates,,Method to derive incidence estimates
source_mort,Estimates,,Method to derive mortality estimates
source_rr_new,Estimates,,Method used to estimate proportion of new TB patients with rifampicin-resistant TB
source_rr_ret,Estimates,,Method used to estimate proportion of previously treated TB patients with rifampicin-resistant TB
source_tbhiv,Estimates,,Method to derive TBHIV estimates
collab_private_lab,Laboratories,0=No; 1=yes,Were any non-NTP laboratories in the private sector (including NGOs) collaborating with the NTP?
collab_public_lab,Laboratories,0=No; 1=yes,Were any non-NTP laboratories in the public sector collaborating with the NTP?
culture,Laboratories,,Number of sites providing TB diagnostic services using culture at the end of the reporting year
dst,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only at the end of the reporting year
dst_eqa_pass,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only that demonstrated proficiency by panel testing
lab_cul,Laboratories,,Number of laboratories providing TB diagnostic services using culture
lab_dst,Laboratories,,Number of laboratories providing TB diagnostic services using drug susceptibility testing
lab_dst_eqa,Laboratories,,Number of drug susceptibility testing laboratories for which External Quality Assessment (EQA) was carried out
lab_dst_eqa_pass,Laboratories,,Number of drug susceptibility testing laboratories which demonstrated acceptable performance
lab_lpa,Laboratories,,Number of laboratories providing TB diagnostic services using Line Probe Assay (LPA) rifampicin
lab_lpa_eqa,Laboratories,,Number of Line Probe Assay (LPA) rifampicin  laboratories for which External Quality Assessment (EQA) was carried out
lab_lpa_eqa_pass,Laboratories,,Number of Line Probe Assay (LPA) rifampicin laboratories which demonstrated acceptable performance
lab_sm,Laboratories,,Number of laboratories providing TB diagnostic services using smear microscopy
