idx,contact_rate,start_time,npi_effectiveness.other_locations,compartment_periods_calculated.incubation.total_period,compartment_periods_calculated.total_infectious.total_period,tv_detection_b,tv_detection_c,prop_detected_among_symptomatic,icu_prop,compartment_periods.hospital_late,compartment_periods.icu_late,hospital_props_multiplier,microdistancing.parameters.c,microdistancing.parameters.sigma,infection_fatality_props(0),infection_fatality_props(1),infection_fatality_props(2),infection_fatality_props(3),infection_fatality_props(4),infection_fatality_props(5),infection_fatality_props(6),infection_fatality_props(7),infection_fatality_props(8),notifications_dispersion_param,infection_deathsXall_dispersion_param,loglikelihood,best_x0,best_x1,best_x2,best_x3,best_x4,best_x5,best_x6,best_x7,best_x8,best_x9,best_x10,best_x11,best_x12,best_x13,best_x14,best_x15,best_deaths,all_vars_to_1_deaths,best_yoll,all_vars_to_1_yoll,best_p_immune,all_vars_to_1_p_immune
run_1976,0.04086908708231024,18.888060042523033,0.9384486748892524,3.016342369795248,5.087589994631191,0.0630091847657276,88.70381224554494,0.49843555838743153,0.1348568698338984,11.670067003589901,8.7464790650247,0.8138185834129418,101.6108405585067,0.631050518801106,1.552385120708575e-05,2.5304502219259483e-05,9.465866335690868e-05,0.0002485308476707804,0.00046034186098544105,0.00200130119800908,0.007201208766847693,0.02765295589025934,0.15040468870906668,539.5276597683409,116.05062695931397,-41.725334573353464,,,,,,,,,,,,,,,,,,,,,,
run_2045,0.04041479045865309,17.973118138845532,0.9177960909377021,3.243496820093619,5.23867036273098,0.05753310861492933,94.13917695450662,0.41843932695578084,0.12643646993450064,11.57040694012865,8.373960939610043,0.7136156999797449,92.84607063154928,0.618389229402563,1.6237682758752944e-05,2.5201363989370394e-05,9.473783262274901e-05,0.00024148893490837675,0.00046129889147940724,0.0020174257821318786,0.007125523031861185,0.029233404805250343,0.14141459523304423,521.120600872707,114.43538755221712,-41.35233159647976,,,,,,,,,,,,,,,,,,,,,,
run_2107,0.04181929441661449,16.69177348841574,0.9219656219722568,3.0329591240325273,5.005356926298604,0.05221469807975361,95.30002250798341,0.30300644523605114,0.15048364518616697,11.598000059154264,7.203514278738484,0.671055386690913,91.0386157728639,0.6293747745924232,1.417150486468187e-05,2.2796759139010087e-05,9.455710221164455e-05,0.00022213578845159344,0.00048755058361880764,0.0018996266196845257,0.007422475252938853,0.0302116698334878,0.15067472878714105,511.95795520951225,117.7846480431934,-25.229142029268647,,,,,,,,,,,,,,,,,,,,,,
run_2155,0.040247168631538585,15.264711389571003,0.883094557476503,3.079685331670783,5.3051687950063595,0.05882509853457778,93.79514629174159,0.24296995270460447,0.150358852798426,10.857792818755508,7.579749460314128,0.65324277344862,90.12596639188693,0.6387956620114018,1.3658269310719134e-05,2.3476361119473355e-05,9.370155318307184e-05,0.00021987324661420677,0.0005012593641476798,0.00191071662598383,0.007332581466838405,0.030772200574560902,0.15390558888835812,529.5966380113989,118.21651486207902,-24.376635116941546,,,,,,,,,,,,,,,,,,,,,,
run_2253,0.04149216964043179,16.84291242414624,0.8767157794536122,3.0513343110060203,5.097822098207936,0.05983095158515977,88.88403844411344,0.18909962180604684,0.12442237365178474,10.763976852563635,8.231003929769619,0.7328264550332532,97.06575130276578,0.6113602432843692,1.4059157671619402e-05,2.258161141030653e-05,9.992064829075831e-05,0.00022267169072999414,0.0005060164661226013,0.001856806251130271,0.007820747480704231,0.029582016137010718,0.14540627926220695,530.6137118402604,109.98875000994933,-21.080416030892323,,,,,,,,,,,,,,,,,,,,,,
run_2253,0.04149216964043179,16.84291242414624,0.8767157794536122,3.0513343110060203,5.097822098207936,0.05983095158515977,88.88403844411344,0.18909962180604684,0.12442237365178474,10.763976852563635,8.231003929769619,0.7328264550332532,97.06575130276578,0.6113602432843692,1.4059157671619402e-05,2.258161141030653e-05,9.992064829075831e-05,0.00022267169072999414,0.0005060164661226013,0.001856806251130271,0.007820747480704231,0.029582016137010718,0.14540627926220695,530.6137118402604,109.98875000994933,-21.080416030892323,,,,,,,,,,,,,,,,,,,,,,
run_2395,0.04070984930311071,13.218066698547151,0.8866482348392037,3.4904341504029763,5.041834729637073,0.06933417208504367,82.96055775682305,0.1238246323435345,0.14359968687331803,11.33043894125398,7.379269460329973,0.6145112488870444,92.18505989792075,0.6595679951009772,1.4419832708768357e-05,2.1118014713119205e-05,0.00010203069486934441,0.0002356534712142757,0.0004939271166155779,0.0019741213905939076,0.007704078793714775,0.02752173000964794,0.13800116678895719,507.56221277052515,111.26517135511864,-24.507584775461012,,,,,,,,,,,,,,,,,,,,,,
run_2395,0.04070984930311071,13.218066698547151,0.8866482348392037,3.4904341504029763,5.041834729637073,0.06933417208504367,82.96055775682305,0.1238246323435345,0.14359968687331803,11.33043894125398,7.379269460329973,0.6145112488870444,92.18505989792075,0.6595679951009772,1.4419832708768357e-05,2.1118014713119205e-05,0.00010203069486934441,0.0002356534712142757,0.0004939271166155779,0.0019741213905939076,0.007704078793714775,0.02752173000964794,0.13800116678895719,507.56221277052515,111.26517135511864,-24.507584775461012,,,,,,,,,,,,,,,,,,,,,,
run_2395,0.04070984930311071,13.218066698547151,0.8866482348392037,3.4904341504029763,5.041834729637073,0.06933417208504367,82.96055775682305,0.1238246323435345,0.14359968687331803,11.33043894125398,7.379269460329973,0.6145112488870444,92.18505989792075,0.6595679951009772,1.4419832708768357e-05,2.1118014713119205e-05,0.00010203069486934441,0.0002356534712142757,0.0004939271166155779,0.0019741213905939076,0.007704078793714775,0.02752173000964794,0.13800116678895719,507.56221277052515,111.26517135511864,-24.507584775461012,,,,,,,,,,,,,,,,,,,,,,
run_2559,0.04168684956285826,16.569590262764983,0.8785510635816053,3.3098713018186374,5.2223898622144915,0.07254804691445234,79.9290098225462,0.14216555612771575,0.14509734975519367,11.48104801377189,6.990676717938477,0.5801135782013783,92.7448389464932,0.601723494491964,1.3518310923807993e-05,1.953412354914629e-05,9.718831988295257e-05,0.00024002432035316533,0.00046041590427434165,0.002021292000201473,0.007434837397400327,0.02641108787024346,0.1365042591329267,523.8412602981406,115.33732345333827,-22.586199794615354,,,,,,,,,,,,,,,,,,,,,,
