,"Majuro Baseline data, 2012-2016",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Diabetes,,,,,No Diabetes,,,,,Diabetes not tested or missing info,,,,,
,Age,0-4,5-14,15-34,35-49,50+,0-4,5-14,15-34,35-49,50+,0-4,5-14,15-34,35-49,50+,Total
Report Year,Active TB Diagnosis Totals,,,,,,,,,,,,,,,,
2012,,,,33,15,10,17,11,1,2,1,,,,,1,91
2013,,3,7,43,20,31,5,6,1,,,,,,,,116
2014,,,,5,13,11,8,14,42,10,9,,,3,,,115
2015,,,3,1,10,15,5,11,23,14,8,,,,,,90
2016,,,,4,11,37,6,12,29,7,12,,,,,1,119
,"PTB with bacteriological confirmation (smear, culture, and/or Xpert)",,,,,,,,,,,,,,,,
2012,Total,,,25,12,8,,1,1,1,,,,,,,48
,Treatment success (cured and/or treatment completed),,,24,10,4,,1,1,,,,,,,,40
,"Treatment failure (default, lost, failure)",,,1,1,2,,,,,,,,,,,4
,Died,,,,1,2,,,,1,,,,,,,4
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2013,Total,,3,26,11,17,,2,,,,,,,,,59
,Treatment success (cured and/or treatment completed),,2,25,9,13,,2,,,,,,,,,51
,"Treatment failure (default, lost, failure)",,,,2,,,,,,,,,,,,2
,Died,,,1,,3,,,,,,,,,,,4
,"Other (unknown, transferred out)",,1,,,1,,,,,,,,,,,2
2014,Total,,,4,11,7,1,2,21,3,2,,,1,,,52
,Treatment success (cured and/or treatment completed),,,3,9,6,1,2,21,3,2,,,1,,,48
,"Treatment failure (default, lost, failure)",,,,,1,,,,,,,,,,,1
,Died,,,1,2,,,,,,,,,,,,3
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2015,Total,,,1,7,2,,2,12,5,2,,,,,,31
,Treatment success (cured and/or treatment completed),,,,7,1,,2,12,4,2,,,,,,28
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,1,,1,,,,1,,,,,,,3
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2016,Total,,,3,8,25,2,4,15,1,3,,,,,,61
,Treatment success (cured and/or treatment completed),,,2,3,5,,2,9,,,,,,,,21
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,2,1,,,,2,,,,,,5
,"Other (unknown, transferred out)",,,1,5,18,1,2,6,1,1,,,,,,35
,Sputum Smear Positive only,,,,,,,,,,,,,,,,
2012,Total,,,14,9,8,,,1,1,,,,,,,33
,Treatment success (cured and/or treatment completed),,,13,8,4,,,1,,,,,,,,26
,"Treatment failure (default, lost, failure)",,,1,1,2,,,,,,,,,,,4
,Died,,,,,2,,,,1,,,,,,,3
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2013,Total,,1,26,10,17,,1,,,,,,,,,55
,Treatment success (cured and/or treatment completed),,,25,8,13,,1,,,,,,,,,47
,"Treatment failure (default, lost, failure)",,,,2,,,,,,,,,,,,2
,Died,,,1,,3,,,,,,,,,,,4
,"Other (unknown, transferred out)",,1,,,1,,,,,,,,,,,2
2014,Total,,,2,11,6,1,1,16,3,2,,,1,,,43
,Treatment success (cured and/or treatment completed),,,2,9,6,1,1,16,3,2,,,1,,,41
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,2,,,,,,,,,,,,2
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
